acc.20240113T160326.json
speed.20240113T160326.json
Name	Mean dist. error (nm)	Max dist. error (nm)	M conversions/sec
Borkowski 1989	118.69482179784235	965682.7860453632	17.413463587035597
Bowring 1976 (1)	25347104.42946387	6842446110.909804	35.19805915798047
Bowring 1976 (2)	1.869744829041117	567.7576319661798	23.969112108893917
Bowring 1985 (1)	533.8957633128725	2730584.9362164834	31.313881567163826
Bowring 1985 (2)	1.7876560029592854	133.28003749250112	21.915389331136446
Bowring-Toms 1995 (1)	2505801.0459517236	7273406476.015225	35.642654958700284
Bowring-Toms 1995 (2)	1.8409293217282092	641.914179560775	24.033929009622288
Fukushima 1999 (1)	4762651273683434	148211128919818140	34.86959241264167
Fukushima 1999 (c.h.) (1)	17549010317367222	982564111760206100	39.76908596751864
Fukushima 2006 (1)	39400.16262169376	66368420.49192637	34.84993085264299
Fukushima 2006 (2)	1.3530420294153684e+107	9.9e+107	24.287954265947224
GeographicLib	1.0492298503388053	238.4185791015625	12.216606274165704
GeographicLib (c.h.)	2.851134828409062	188.48643661548968	14.130400712718059
geotransformCpp	117803.65736342862	842549.8381257057	20.6792935363485
geotransformCpp (c.h.)	120689.42987405331	847098.3511697702	28.004673574861084
Gersten 1961	16543053761909378	665788629441281200	39.5057938021134
Halley (1)	82450297.43949291	4352607607.841492	24.49792881478936
Halley (2)	0.9288304690738889	178.81393432617188	14.503460090684024
Halley quick (1)	82450297.53627484	4352607548.236847	21.63763051734713
Halley quick (2)	2.6393806989199797	190.82797281243947	14.681787980937086
Heikkinen 1982	1.6920075319144094	188.48643661548968	16.074724090686505
Heikkinen 1982 (c.h.)	2.3663623319503055	133.28003749250112	17.337218463491098
Householder (1)	82451315.72782192	4352674067.020416	24.15490508787869
Householder (2)	0.9313081609292688	178.81393432617188	14.050763143162262
Householder quick (1)	82451315.82299635	4352674067.020416	21.554830367775608
Householder quick (2)	2.635335639502255	214.90760299348767	14.247313701122664
JAT Geodetic	8453532.988359379	25292775163.59252	8.874551204092768
Jones 2002 (1)	11781354724.387194	198546058319.3926	36.89847714381604
Ligas 2011 I (1)	38365527.336741336	8841109968.605452	36.02364264337895
Ligas 2011 I (2)	12.367843355646158	142820.9943697331	25.83324529249034
Lin-Wang 1995 (1)	429.8594292125553	2321543.6376631525	24.898535026724225
Lin-Wang 1995 (2)	2.051764787833054	245.75624618635538	18.89789017757622
Lin-Wang 1995 (c.h.) (1)	113268.59939184539	488796170.24120593	26.36952712872536
Lin-Wang 1995 (c.h.) (2)	2.2662252843346766	149.01161193847656	19.92271273526534
Long 1974	15938077744742.57	30242461971828.715	25.29814401583628
Naive I (1)	5271357956.226736	373648314864.4911	28.95793813279602
Naive I (2)	3605565.049016099	5773079658.2764015	18.260733183423756
Naive II (1)	4699043180.836827	143882909981.41748	28.25562930484342
Naive II (2)	3036773.8941668854	1672965495.439712	18.148182761540287
Newton-Raphson (1)	151796416.1448099	8206320285.797119	27.25988744822046
Newton-Raphson (2)	0.9445512839336457	783.1259045411534	17.03616431334744
Newton-Raphson quick (1)	151796416.2154244	8206320285.797119	24.556258019471493
Newton-Raphson quick (2)	2.7819110559624303	783.8243964412718	16.813079384318566
Olson 1996	1.3734602567753875	2460.321414244659	31.42985614591244
Olson 1996 (c.h.)	2.6722730917345254	1775.4083643903668	55.857152256091574
OpenGlobe	13928.410064648013	318894.362670552	12.672063344522703
Ozone 1985	232.52170237132555	366565.1505046991	26.9709089933346
Paul 1973	4.9514877261550564e+107	9.9e+107	19.59559416224929
Pollard 2002 height (1)	32146216786094028	1225331195361346800	20.244491986054786
Pollard 2002 naive (1)	86841505.42652021	10305654109.33923	32.3262895320785
Pollard 2002 naive (2)	429036.07516188145	264242187.14237213	23.58637851063377
Pollard 2002 Newton (1)	533.7096020445274	2730584.9362164834	29.704107259938908
Pollard 2002 Newton (2)	1.5690224613844186	133.28003749250112	19.59825960073335
Schroder (1)	312990985.01363486	16911402344.703674	24.869747126081872
Schroder (2)	0.9479881448573347	1033.418838086228	14.47654211912403
Schroder quick (1)	312990985.05669814	16911402344.703674	22.045820727427
Schroder quick (2)	2.8915206570741767	1033.418838086228	14.455251020246148
SEDRIS	78632.64806017965	913023.017346859	22.033040835586615
SEDRIS (c.h.)	105527.26253343596	924272.3318743766	31.094522822882396
Shu 2010 (1)	198.87682281582377	5411534.919403499	34.83300333534546
Shu 2010 (2)	2.1602918493894596	188.48643661548968	28.06121451909662
Shu 2010 (c.h.) (1)	52241.23996292484	1139387620.6067266	36.99761225116509
Shu 2010 (c.h.) (2)	2.9100445029177404	508.39851940779647	29.58576210094753
Sofair 1993	1.6385714534953978e+105	9.9e+107	20.433932835634792
Sofair 2000	6551162235.726594	51346831726623.46	19.781021719521643
Sudano 1997	9.9e+107	9.9e+107	20.251679653460712
Turner 2013	1614503781776.7068	3076400129563344	12.648884739049047
Vermeille 2004	1.2665272730688235	178.81393432617188	13.139060192130563
Vermeille 2004 (c.h.)	3.0198410099737876	188.48643661548968	16.286478361079514
Vermeille 2011	1.2643474805962513	178.81393432617188	11.236119847023007
Vermeille 2011 (c.h.)	3.2428077990982667	238.4476811558792	13.889888251764754
Wu 2003 (1)	111907034990.45868	4942306064903.736	34.9111373447627
Wu 2003 (2)	459061.2559220385	27590155.601501465	29.927672091211026
Zhang 2005	2.1722284345995626	245.75624618635538	13.859079194031018
Zhu 1993	4.636600201461938	113276.76475048065	18.762652935274154
