acc.20240113T160326.json
speed.20240113T160326.json
Name,Mean dist. error (nm),Max dist. error (nm),M conversions/sec
Bowring 1976 (2),1.869744829041117,567.7576319661798,23.969112108893917
Bowring 1985 (2),1.7876560029592854,133.28003749250112,21.915389331136446
Bowring-Toms 1995 (2),1.8409293217282092,641.914179560775,24.033929009622288
GeographicLib,1.0492298503388053,238.4185791015625,12.216606274165704
GeographicLib (c.h.),2.851134828409062,188.48643661548968,14.130400712718059
Halley (2),0.9288304690738889,178.81393432617188,14.503460090684024
Halley quick (2),2.6393806989199797,190.82797281243947,14.681787980937086
Heikkinen 1982,1.6920075319144094,188.48643661548968,16.074724090686505
Heikkinen 1982 (c.h.),2.3663623319503055,133.28003749250112,17.337218463491098
Householder (2),0.9313081609292688,178.81393432617188,14.050763143162262
Householder quick (2),2.635335639502255,214.90760299348767,14.247313701122664
Lin-Wang 1995 (2),2.051764787833054,245.75624618635538,18.89789017757622
Lin-Wang 1995 (c.h.) (2),2.2662252843346766,149.01161193847656,19.92271273526534
Newton-Raphson (2),0.9445512839336457,783.1259045411534,17.03616431334744
Newton-Raphson quick (2),2.7819110559624303,783.8243964412718,16.813079384318566
Olson 1996,1.3734602567753875,2460.321414244659,31.42985614591244
Olson 1996 (c.h.),2.6722730917345254,1775.4083643903668,55.857152256091574
Pollard 2002 Newton (2),1.5690224613844186,133.28003749250112,19.59825960073335
Schroder (2),0.9479881448573347,1033.418838086228,14.47654211912403
Schroder quick (2),2.8915206570741767,1033.418838086228,14.455251020246148
Shu 2010 (2),2.1602918493894596,188.48643661548968,28.06121451909662
Shu 2010 (c.h.) (2),2.9100445029177404,508.39851940779647,29.58576210094753
Vermeille 2004,1.2665272730688235,178.81393432617188,13.139060192130563
Vermeille 2004 (c.h.),3.0198410099737876,188.48643661548968,16.286478361079514
Vermeille 2011,1.2643474805962513,178.81393432617188,11.236119847023007
Vermeille 2011 (c.h.),3.2428077990982667,238.4476811558792,13.889888251764754
Zhang 2005,2.1722284345995626,245.75624618635538,13.859079194031018
Zhu 1993,4.636600201461938,113276.76475048065,18.762652935274154
