acc.20240306T134246.json
speed.20240306T134246.json
Name,Mean dist. error (nm),Max dist. error (nm),M conversions/sec
Borkowski 1989,118.69482179784235,965682.7860453632,17.233283826665357
Bowring 1976 (x1),25347104.42946387,6842446110.909804,34.07250963515102
Bowring 1976 (x2),1.869744829041117,567.7576319661798,23.23052035831643
Bowring 1985 (x1),533.8957633128725,2730584.9362164834,30.66936879594131
Bowring 1985 (x2),1.7876560029592854,133.28003749250112,21.404414211033767
Bowring-Toms 1995 (x1),2505801.0459517236,7273406476.015225,34.207303079933055
Bowring-Toms 1995 (x2),1.8409293217282092,641.914179560775,23.280713725671426
Fukushima 1999 (c.h.) (x1),17549010317367222,982564111760206100,39.378904427943766
Fukushima 1999 (x1),4762651273683434,148211128919818140,34.09091280678921
Fukushima 2006 (x1),39400.16262169376,66368420.49192637,33.83135718541595
Fukushima 2006 (x2),1.3530420294153684e+107,9.9e+107,23.94354569976769
GeographicLib,1.0492298503388053,238.4185791015625,12.070240517563615
GeographicLib (c.h.),2.851134828409062,188.48643661548968,13.825905238641752
geotransformCpp,117803.65736342862,842549.8381257057,20.355746577610024
geotransformCpp (c.h.),120689.42987405331,847098.3511697702,27.797945325131558
Gersten 1961,16543053761909378,665788629441281200,38.93293555014994
Halley quick (x1),82450297.53627484,4352607548.236847,21.810685117752787
Halley quick (x2),2.6393806989199797,190.82797281243947,14.548357305034424
Halley (x1),82450297.43949291,4352607607.841492,24.278087152420404
Halley (x2),0.9288304690738889,178.81393432617188,14.10972084053019
Heikkinen 1982,1.6920075319144094,188.48643661548968,15.884923079929383
Heikkinen 1982 (c.h.),2.3663623319503055,133.28003749250112,16.97394006862096
Householder quick (x1),82451315.82299635,4352674067.020416,21.0562248116069
Householder quick (x2),2.635335639502255,214.90760299348767,13.909748158906526
Householder (x1),82451315.72782192,4352674067.020416,23.42437191309509
Householder (x2),0.9313081609292688,178.81393432617188,13.89344521522903
JAT Geodetic,8453532.988359379,25292775163.59252,8.956525803324258
Jones 2002 (x1),11781354724.387194,198546058319.3926,35.73627503401475
Ligas 2011 I (x1),38365527.336741336,8841109968.605452,34.526006921881816
Ligas 2011 I (x2),12.367843355646158,142820.9943697331,25.570678361712684
Lin-Wang 1995 (c.h.) (x1),113268.59939184539,488796170.24120593,26.11773259079893
Lin-Wang 1995 (c.h.) (x2),2.2662252843346766,149.01161193847656,19.678209369342
Lin-Wang 1995 (x1),429.8594292125553,2321543.6376631525,24.288057216846784
Lin-Wang 1995 (x2),2.051764787833054,245.75624618635538,18.501629636998132
Long 1974,15938077744742.57,30242461971828.715,24.515013059245057
Naive II (x1),4699043180.836827,143882909981.41748,27.781211412801984
Naive II (x2),3036773.8941668854,1672965495.439712,17.845545197069853
Naive I (x1),5271357956.226736,373648314864.4911,28.242489070646542
Naive I (x2),3605565.049016099,5773079658.2764015,18.36960396461098
Newton-Raphson quick (x1),151796416.2154244,8206320285.797119,23.725963838953476
Newton-Raphson quick (x2),2.7819110559624303,783.8243964412718,16.686775462547292
Newton-Raphson (x1),151796416.1448099,8206320285.797119,27.562066650244308
Newton-Raphson (x2),0.9445512839336457,783.1259045411534,16.915506598289
Olson 1996,1.3734602567753875,2460.321414244659,30.053532430946316
Olson 1996 (c.h.),2.6722730917345254,1775.4083643903668,54.078144796568594
OpenGlobe,13928.410064648013,318894.362670552,12.585293406254188
Ozone 1985,232.52170237132555,366565.1505046991,26.569717354081504
Paul 1973,4.9514877261550564e+107,9.9e+107,19.395018092641045
Pollard 2002 height (x1),32146216786094028,1225331195361346800,19.8042706422376
Pollard 2002 naive (x1),86841505.42652021,10305654109.33923,31.202711587736818
Pollard 2002 naive (x2),429036.07516188145,264242187.14237213,23.232814888916444
Pollard 2002 Newton (x1),533.7096020445274,2730584.9362164834,29.224186734539632
Pollard 2002 Newton (x2),1.5690224613844186,133.28003749250112,19.59067910514453
Schroder quick (x1),312990985.05669814,16911402344.703674,21.53813890399561
Schroder quick (x2),2.8915206570741767,1033.418838086228,14.045359398849133
Schroder (x1),312990985.01363486,16911402344.703674,24.376431416724493
Schroder (x2),0.9479881448573347,1033.418838086228,14.250762946562343
SEDRIS,78632.64806017965,913023.017346859,21.643822217474558
SEDRIS (c.h.),105527.26253343596,924272.3318743766,30.59667532694793
Shu 2010 (c.h.) (x1),52241.23996292484,1139387620.6067266,35.65734282738919
Shu 2010 (c.h.) (x2),2.9100445029177404,508.39851940779647,29.120748682321985
Shu 2010 (x1),198.87682281582377,5411534.919403499,33.3492233672656
Shu 2010 (x2),2.1602918493894596,188.48643661548968,26.77709608524118
Sofair 1993,1.6385714534953978e+105,9.9e+107,20.084759646150008
Sofair 2000,6551162235.726594,51346831726623.46,19.610684954393435
Sudano 1997,9.9e+107,9.9e+107,19.503421186628177
Turner 2013,1614503781776.7068,3076400129563344,12.441864537578391
Vermeille 2004,1.2665272730688235,178.81393432617188,13.130766660516949
Vermeille 2004 (c.h.),3.0198410099737876,188.48643661548968,16.127027684778646
Vermeille 2011,1.2643474805962513,178.81393432617188,11.052462808802398
Vermeille 2011 (c.h.),3.2428077990982667,238.4476811558792,13.739919663171811
Wu 2003 (x1),111907034990.45868,4942306064903.736,34.19500789727085
Wu 2003 (x2),459061.2559220385,27590155.601501465,29.41053647136091
Zhang 2005,2.1722284345995626,245.75624618635538,13.751515569750579
Zhu 1993,4.636600201461938,113276.76475048065,18.182163934567335
