acc.20260227T160803.json
speed.20260227T160803.json
Name,Mean dist. error (nm),Max dist. error (nm),Time/call (ns)
Borkowski 1989,117.66308762872356,519342.4977074332,63.414587247259000
Bowring 1976 (x1),25347104.46293797,6842446110.909804,32.744052722362603
Bowring 1976 (x2),2.317634967504046,567.7576383498707,45.531731684120302
Bowring 1985 (x1),534.2810568755632,2730584.973441322,37.156902460442865
Bowring 1985 (x2),2.247705417422359,137.1500551439936,51.863771016510157
Bowring-Toms 1995 (x1),2505801.047168281,7273406476.015225,33.352665191010736
Bowring-Toms 1995 (x2),2.2930639748177515,641.3320804199303,47.450432073132099
Fukushima 1999 (c.h.) (x1),17549010317367222,982564111760206100,25.123314680510671
Fukushima 1999 (x1),4762651273683434,148211128919818140,32.956744521786291
Fukushima 2006 (x1),39400.18213341389,66368420.697528034,33.357374238982182
Fukushima 2006 (x2),1.3530420294153684e+107,9.9e+107,44.689833787276953
GeographicLib,1.6655983897034092,238.74631722810912,89.450757112947400
GeographicLib (c.h.),3.1080719829408077,184.1170803097401,77.537028148866312
geotransformCpp,117804.23759979148,842549.8381257177,53.934385264758951
geotransformCpp (c.h.),120689.69293643018,847098.3073995698,38.628323559372397
Gersten 1961,16543053761909378,665788629441281300,29.504641223269751
Halley quick (x1),82450297.5502997,4352607607.841492,51.098823873916189
Halley quick (x2),2.734095806269926,189.84674507260735,74.613017776930320
Halley (x1),82450297.48705325,4352607607.841492,43.360446137720530
Halley (x2),1.4172176154436382,150.78109163352252,72.470000142857529
Heikkinen 1982,2.1489085116169915,164.4653920754869,70.846064214893744
Heikkinen 1982 (c.h.),2.6712922836399846,137.4971278125619,63.171512496028278
Householder quick (x1),82451315.83574995,4352674067.020416,50.334908330477454
Householder quick (x2),2.7327928314727115,190.19030792950602,73.386696571428530
Householder (x1),82451315.77000427,4352674067.020416,45.787289872866538
Householder (x2),1.4139838924914419,150.46582411272058,72.114599010377376
JAT Geodetic,8453532.98969838,25292775163.59252,113.05707854925568
Jones 2002 (x1),11781462011.473574,198546058319.1598,30.466321334425725
Ligas 2011 I (x1),38365527.34055687,8841109968.13979,32.323011057792606
Ligas 2011 I (x2),12.65963145938846,142820.63767352232,40.176680180539002
Lin-Wang 1995 (c.h.) (x1),113268.63250902508,488796170.21745896,42.048133666302377
Lin-Wang 1995 (c.h.) (x2),2.5639909638198586,151.66249964793408,56.000682199658932
Lin-Wang 1995 (x1),429.98492738540045,2321542.9391712123,44.562662356889419
Lin-Wang 1995 (x2),2.4733464333595516,247.0886671819103,56.128530648013509
Long 1974,15938077744742.586,30242461971829.08,43.078294216308656
Naive II (x1),4699043180.856687,143882909981.76672,40.579754268173090
Naive II (x2),3036773.9149242607,1672965495.439712,58.698952963424134
Naive I (x1),5271357956.243387,373648314864.4911,39.290794790384538
Naive I (x2),3605565.0971793775,5773079658.2764015,60.500694622909876
Newton-Raphson quick (x1),151796416.23157945,8206320305.307158,45.594909277893763
Newton-Raphson quick (x2),2.8857691376595165,783.8243926580036,64.807240273335054
Newton-Raphson (x1),151796416.17659533,8206320305.307158,37.866867586359476
Newton-Raphson (x2),1.4989277964754468,783.1259233938069,58.603207912240713
Olson 1996,1.860223110758293,2460.388135219979,33.813451739091775
Olson 1996 (c.h.),2.922027817631533,1775.5076218590345,19.971131512110261
OpenGlobe,13928.47744935621,318894.36333632783,82.064130620742532
Ozone 1985,232.49509376004994,366565.1505046991,42.988147238396188
Paul 1973,4.9514808172098086e+107,9.9e+107,60.499622211907138
Pollard 2002 height (x1),32146216786094030,1225331195361346800,50.916908417128028
Pollard 2002 naive (x1),86841505.45470913,10305654109.434217,33.366198598683248
Pollard 2002 naive (x2),429036.30790956115,264242187.1955869,45.459162603483946
Pollard 2002 Newton (x1),534.115078042798,2730584.9734413116,37.593624334986991
Pollard 2002 Newton (x2),2.0435615797720987,139.92986276227373,54.741158740825867
Schroder quick (x1),312990985.07798696,16911402344.703674,48.893537439370292
Schroder quick (x2),2.8367047750131498,1033.1295608947266,75.260662571428298
Schroder (x1),312990985.03642946,16911402344.703674,41.370438944242430
Schroder (x2),1.4316812904984901,1033.2789717734045,71.656348390653434
SEDRIS,78632.9711776778,913022.5516856052,49.414296601897647
SEDRIS (c.h.),105527.32823826754,924272.174458115,34.778527289536925
Shu 2010 (c.h.) (x1),52240.894002722016,1139387618.567061,30.521287787308914
Shu 2010 (c.h.) (x2),3.0687397269404557,511.39503735336945,37.915327933712270
Shu 2010 (x1),199.2744876189288,5411535.110735357,31.708394504174841
Shu 2010 (x2),2.5837375256260824,193.0575472853747,38.415559067244281
Sofair 1993,1.647092485649967e+105,9.9e+107,58.132857098789543
Sofair 2000,6549589143.633462,51346831726623.46,55.311876973987808
Sudano 1997,9.9e+107,9.9e+107,59.186820716275804
Turner 2013,1614503781776.7002,3076400129563344,81.967642667693966
Vermeille 2004,1.8376136064095903,180.10157897711403,81.826554571428701
Vermeille 2004 (c.h.),3.242182743146071,186.3406278867668,61.322977105233768
Vermeille 2011,1.8365331639638607,180.13474991585306,97.950460041548666
Vermeille 2011 (c.h.),3.4519713882247784,188.63015730307643,74.016779714286173
Wu 2003 (x1),111907034990.68323,4942306064844.132,33.313231095270510
Wu 2003 (x2),459061.5094536322,27590155.601512026,38.698822651775792
Zhang 2005,2.5900761746506746,249.89250722467216,85.060445480904775
Zhu 1993,4.952993318442951,113276.76475048203,62.603058322824950
