acc.20260227T160803.json
speed.20260227T160803.json
Name,Mean dist. error (nm),Max dist. error (nm),Time/call (ns)
Bowring 1976 (x2),2.318,567.758,45.532
Bowring 1985 (x2),2.248,137.151,51.864
Bowring-Toms 1995 (x2),2.294,641.333,47.451
GeographicLib,1.666,238.747,89.451
GeographicLib (c.h.),3.109,184.118,77.538
Halley quick (x2),2.735,189.847,74.614
Halley (x2),1.418,150.782,72.471
Heikkinen 1982,2.149,164.466,70.847
Heikkinen 1982 (c.h.),2.672,137.498,63.172
Householder quick (x2),2.733,190.191,73.387
Householder (x2),1.414,150.466,72.115
Lin-Wang 1995 (c.h.) (x2),2.564,151.663,56.001
Lin-Wang 1995 (x2),2.474,247.089,56.129
Newton-Raphson quick (x2),2.886,783.825,64.808
Newton-Raphson (x2),1.499,783.126,58.604
Olson 1996,1.861,2460.389,33.814
Olson 1996 (c.h.),2.923,1775.508,19.972
Pollard 2002 Newton (x2),2.044,139.930,54.742
Schroder quick (x2),2.837,1033.130,75.261
Schroder (x2),1.432,1033.279,71.657
Shu 2010 (c.h.) (x2),3.069,511.396,37.916
Shu 2010 (x2),2.584,193.058,38.416
Vermeille 2004,1.838,180.102,81.827
Vermeille 2004 (c.h.),3.243,186.341,61.323
Vermeille 2011,1.837,180.135,97.951
Vermeille 2011 (c.h.),3.452,188.631,74.017
Zhang 2005,2.591,249.893,85.061
Zhu 1993,4.953,113276.765,62.604
